username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Linda says RELAX,2420935830,"Kansas City, MO",2023-01-21 14:03:51,"@celesteannnette @AGAndrewBailey Schools are scary places because kids are dying en masse from guns. Hey, but let’s… https://t.co/94dmgCHgPb",0,Twitter for iPhone,
Z Gunslinger78,388386553,"Kansas City, KS ",2023-01-21 12:57:43,BlackRain 5.56 W/ Mag Changes🔥🔥Making it Rain 🌧️ 💥💥🔥🔥🛎️🛎️🛎️ https://t.co/gvXtHrRprb via @YouTube @NRA_Rifleman… https://t.co/Yo6gukrEXI,0,Twitter for iPhone,
Kim AF Brat,279337502,"Kansas City, Missouri",2023-01-21 08:33:23,@RepBoebert @StudentsforLife Nobody who worships guns is pro life GFY,0,Twitter for iPhone,
jjwagner,1255609333762740227,"Olathe, KS",2023-01-21 06:59:39,@RobSchneider 🙄🤦🏼‍♂️ sure…you’ll need those guns in the event of a fabricated scenario where the government storms… https://t.co/0pIP8ZCCyE,0,Twitter for iPad,
Kenneth,2945695176,Kansas City,2023-01-21 06:13:57,@RepKClark Guns already ARE banned from public schools... Do you not know the current state of the gun laws?,0,Twitter Web App,
Ben Cunningham,49822735,"Kansas City, MO",2023-01-21 04:55:53,"@SNFonNBC @Jaguars There is just a bunch of concrete around Arrowhead. Just sayin'

And if a bunch of real big cats… https://t.co/naEKAI08SK",0,Twitter Web App,
Jan,1278962023964041217,64030,2023-01-21 04:54:57,@LagoonRob @AmerSave @NahBravoNah Lies. A 16 year old can't get a gun legally. They would have to steal it. We have… https://t.co/2U679xdwAS,0,Twitter Web App,
OSU1984,1334852045636046849,"Shawnee, KS",2023-01-21 04:24:16,@ericareport Ban Democrats from owning guns and watch the school shootings end!,0,Twitter for iPad,
Scott O,1656594770,"Kansas City, MO",2023-01-21 00:48:51,@GovParsonMO You should be deeply concerned about guns in schools instead,0,Twitter for iPhone,
"Reverend Nåchø, Esquire🎙",1187124512699113474,Kansas City,2023-01-21 00:06:18,"@SullyChiefs As a kid whose stepdad was stupid abusive to my mother and me, nah, go ahead and send the damn cops.… https://t.co/bUw9EMYGu0",0,Twitter for iPhone,
Etienne Sallade,1570662728963956737,"Kansas City, MO",2023-01-21 00:04:14,"@itsJeffTiedrich If an actor purposefully discharging a gun he didn't properly inspect, after previously mishandlin… https://t.co/XQbyMpbJvp",0,Twitter for Android,
Gregs Benedict,14347598,"Kansas City, MO",2023-01-20 21:48:30,"Batman hates guns, Spider-Man is all about responsibility, Animal Man is vegan; the core stays consistent, but it d… https://t.co/MgzPNKIuiS",0,Twitter for Android,
Bubbletrousers,1511074724566245388,"Kansas City, MO",2023-01-20 20:48:25,@RepKClark because the cultural depravity therein leads to people using those guns on innocents.,0,Twitter Web App,
Josh Shepard,1364021280211632130,"Olathe, KS",2023-01-20 20:47:32,"@johnrich So, you admit that parents whose children take their guns and kill people should be held liable for their negligence? Cool.",0,Twitter for Android,
Mike Semper Fi.,1328009925038051330,"Kansas City, MO",2023-01-20 20:28:18,@REAL_CUEBALL @AlecBaldwin So not true. Not sure u own any guns ?  But rule number one.  Always check firearm. When… https://t.co/CWG4KSdQ7p,1,Twitter for iPhone,
Kathy Richardson,42481188,"Overland Park, KS",2023-01-20 19:28:09,"https://t.co/OJ8z4WRkGC
Come on Kansas City! Put your guns down!",0,Twitter for Android,
🐷🐶,22673600,Kansas City,2023-01-20 19:06:42,@SportsPhreak71 Cause guns are more important to God,0,Twitter for iPhone,
Jeff Brack,1234183618941083648,"Prairie Village, KS",2023-01-20 18:57:19,@jaymon10002 @pdivision That 500 murders is because we have too much poverty and too many guns. Not because of some… https://t.co/p0nlteSS4w,0,Twitter for Android,
beautifulblackbarbie,3102133398,"North Kansas City, MO",2023-01-20 18:37:58,@MayorLucasKC  there was a shoot out in the laundry mat and I hate people use these guns on people,0,Twitter for iPhone,
kaden m,1454865611343990788,Updraft from a tornado,2023-01-20 17:28:52,"@SquidWX @BrianAllenWX @OzarkChasers Case in point. Unless the parent teaches the kid everything about guns, they s… https://t.co/qBajdPcbbx",0,Twitter for iPhone,
Amy Axtell text SOCIAL to 644-33,16806337,Kansas City Missouri,2023-01-20 16:46:51,@GunDeaths The myths &amp; fear mongering that demand guns everywhere for “defensive use” is clearly BS when you see these maps.,0,Twitter for iPhone,
Amy Axtell text SOCIAL to 644-33,16806337,Kansas City Missouri,2023-01-20 16:15:20,"Missouri’s ever-loosening-gun-laws enabled a school shooting.

“This is about law enforcement who went to do their… https://t.co/fSZ4uvgbse",5,Twitter for iPhone,
Z Gunslinger78,388386553,"Kansas City, KS ",2023-01-20 16:10:51,Old Glory 🇺🇸 is still waving in this Kansas Wind 💨 #firingrange #gunrange https://t.co/LkQxWdudeZ via @YouTube… https://t.co/26yMMJkj8u,2,Twitter for iPhone,
Z Gunslinger78,388386553,"Kansas City, KS ",2023-01-20 16:01:16,Black Rain w/Mag Changes 💥💥🛎️🛎️🔥🔥 #blackrain #rifle #guns #firearms https://t.co/DBQTAqZpzQ via @YouTube… https://t.co/AF54A9AwqU,2,Twitter for iPhone,
Gavin Fritton 🇺🇦,17052728,"Overland Park, KS",2023-01-20 15:56:24,"You guys are not gonna believe this, but there's a jackbooted thug at my door. Says he was sent by Obama and is here for my guns.",0,Twitter Web App,
